                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2259,                 1.0139,                 1.2584,                0.83251,                 0.8119,                0.87308,                0.44318,                 1.7499,                 1.1259,                  1.595,              0.0016142,              0.0016142,              0.0016142
                     35,                  1.208,                0.94162,                 1.2245,                0.81137,                0.84215,                0.87915,                0.45713,                 1.7061,                 1.0577,                 1.6193,              0.0016125,              0.0016125,              0.0016125
                     36,                 1.1969,                0.93088,                 1.2204,                0.89783,                 0.8399,                 0.8798,                 0.4092,                 1.7531,                 1.1608,                 1.6231,              0.0016109,              0.0016109,              0.0016109
                     37,                 1.2275,                0.92158,                 1.2123,                0.80238,                0.62143,                  0.749,                0.38321,                 1.6391,                  1.316,                 1.5556,              0.0016092,              0.0016092,              0.0016092
                     38,                 1.2486,                0.92133,                 1.2121,                0.83001,                0.79762,                0.87684,                0.47361,                 1.6427,                 1.0533,                 1.5756,              0.0016076,              0.0016076,              0.0016076
                     39,                 1.1823,                0.90317,                 1.2009,                0.77712,                 0.5759,                0.73226,                0.32602,                  1.728,                 1.4812,                 1.6054,              0.0016059,              0.0016059,              0.0016059
                     40,                 1.2443,                 0.9221,                 1.1801,                0.74361,                0.68536,                0.74818,                0.31659,                 1.9291,                 1.6642,                 1.7396,              0.0016043,              0.0016043,              0.0016043
                     41,                 1.2133,                0.86986,                 1.2199,                0.61574,                0.74762,                0.64601,                0.32746,                 1.7553,                 1.6885,                 1.6495,              0.0016026,              0.0016026,              0.0016026
                     42,                 1.1419,                0.85915,                 1.1762,                0.73523,                0.86667,                0.78772,                0.36766,                 1.8057,                 1.2298,                 1.6851,               0.001601,               0.001601,               0.001601
                     43,                 1.0894,                0.82264,                 1.1444,                0.64975,                0.81988,                0.75026,                0.35562,                 1.8229,                 1.2387,                 1.7053,              0.0015993,              0.0015993,              0.0015993
                     44,                 1.1813,                0.83467,                 1.2032,                0.70177,                0.78831,                0.70567,                0.34374,                 1.8051,                  1.345,                 1.7582,              0.0015977,              0.0015977,              0.0015977
                     45,                 1.1299,                0.83833,                 1.1767,                0.63257,                0.71905,                0.67887,                0.32209,                 1.8469,                 1.1465,                 1.6615,               0.001596,               0.001596,               0.001596
                     46,                  1.145,                0.84578,                 1.1895,                 0.8105,                0.79048,                0.86093,                0.37706,                 1.7312,                 1.0567,                 1.5488,              0.0015944,              0.0015944,              0.0015944
                     47,                 1.1368,                0.82916,                 1.1843,                0.78248,                0.72586,                0.80336,                0.41707,                 1.6043,                 1.0912,                 1.4602,              0.0015927,              0.0015927,              0.0015927
                     48,                 1.1884,                0.88723,                  1.187,                0.83507,                0.74125,                0.80961,                0.44386,                 1.6416,                 1.1309,                 1.5245,              0.0015911,              0.0015911,              0.0015911
                     49,                 1.0752,                0.78973,                 1.1404,                0.82234,                0.79524,                0.84762,                0.44921,                  1.666,                 1.0826,                 1.5248,              0.0015894,              0.0015894,              0.0015894
                     50,                 1.0808,                0.75406,                 1.1474,                0.77103,                0.83395,                0.86131,                0.49407,                 1.6089,                0.97501,                 1.4555,              0.0015878,              0.0015878,              0.0015878
                     51,                 1.1419,                0.78376,                 1.1697,                0.76841,                 0.9265,                0.90665,                0.48559,                 1.5708,                0.95834,                 1.4539,              0.0015861,              0.0015861,              0.0015861
                     52,                 1.1186,                0.75611,                 1.1577,                0.75007,                0.70579,                0.82524,                0.43861,                 1.6448,                 1.1371,                 1.5598,              0.0015845,              0.0015845,              0.0015845
                     53,                 1.0711,                0.75681,                 1.1447,                0.76938,                0.76584,                0.82262,                0.41903,                 1.6702,                0.95883,                 1.6197,              0.0015828,              0.0015828,              0.0015828
